collision_index,vehicle_reference,vehicle_type,age_of_driver,age_of_vehicle
C202601416,3,9,-1,13
C202601416,4,9,80,0
C202601417,1,9,45,24
C202601417,2,9,28,10
C202601417,3,9,60,9
C202601418,1,9,38,24
C202601419,1,9,68,12
C202601419,2,5,80,4
C202601420,1,19,62,21
C202601421,1,11,73,7
C202601421,2,9,81,0
C202601421,3,3,19,1
C202601422,1,9,42,8
C202601422,2,11,24,12
C202601423,1,9,54,22
C202601423,2,3,84,2
C202601424,1,9,60,8
C202601424,2,9,54,24
C202601425,1,1,34,1
C202601426,1,11,29,11
C202601427,1,19,21,22
C202601427,2,9,51,24
C202601427,3,9,35,16
C202601428,1,9,81,14
C202601429,1,9,45,22
C202601429,2,11,36,15
C202601430,1,9,79,22
C202601430,2,9,57,18
C202601431,1,9,37,3
C202601432,1,9,55,16
C202601432,2,19,50,21
C202601433,1,9,31,20
C202601433,2,9,22,14
C202601433,3,1,62,1
C202601433,4,9,79,12
C202601434,1,19,76,23
C202601434,2,9,57,17
C202601435,1,9,48,13
C202601435,2,1,35,14
C202601436,1,9,76,-1
C202601436,2,5,42,24
C202601437,1,9,45,4
C202601437,2,9,35,17
C202601437,3,9,-1,-1
C202601438,1,11,42,4
C202601438,2,19,59,22
C202601439,1,1,-1,10
C202601439,2,9,41,2
C202601440,1,5,28,17
C202601440,2,5,25,13
C202601441,1,9,41,14
C202601441,2,9,57,19
C202601442,1,5,59,7
C202601442,2,11,34,19
C202601443,1,3,40,12
C202601443,2,5,63,24
C202601444,1,9,64,18
C202601445,1,11,19,10
C202601446,1,9,39,4
C202601446,2,5,59,8
C202601447,1,5,71,8
C202601447,2,9,62,8
C202601448,1,5,19,4
C202601448,2,9,74,3
C202601449,1,9,43,21
C202601450,1,9,72,18
C202601450,2,5,46,9
C202601451,1,3,33,5
C202601451,2,5,65,20
C202601452,1,19,47,14
C202601452,2,9,79,18
C202601452,3,9,80,3
C202601453,1,11,70,11
C202601453,2,9,72,7
C202601454,1,5,63,18
C202601455,1,11,76,1
C202601456,1,11,61,9
C202601456,2,9,71,15
C202601457,1,1,78,18
C202601458,1,5,64,13
C202601459,1,9,54,20
C202601460,1,9,82,-1
C202601460,2,9,41,14
C202601461,1,11,83,1
C202601461,2,5,-1,9
C202601462,1,9,80,1
C202601462,2,9,72,16
C202601463,1,9,55,12
C202601463,2,11,63,15
C202601464,1,9,49,24
C202601464,2,9,44,-1
C202601464,3,11,19,15
C202601464,4,1,29,2
C202601465,1,9,-1,22
C202601465,2,3,35,12
C202601466,1,9,32,5
C202601466,2,3,20,6
C202601467,1,5,17,6
C202601467,2,9,33,3
C202601467,3,9,44,0
C202601468,1,9,22,6
C202601469,1,9,49,4
C202601469,2,11,21,17
C202601470,1,3,27,-1
C202601471,1,19,78,-1
C202601471,2,9,26,2
C202601472,1,3,29,8
C202601472,2,3,62,3
C202601472,3,9,77,18
C202601473,1,9,19,16
C202601473,2,19,24,24
C202601473,3,1,21,4
C202601473,4,5,46,8
C202601474,1,9,21,7
C202601474,2,3,-1,3
C202601475,1,11,45,19
C202601476,1,9,75,4
C202601476,2,3,52,18
C202601477,1,1,-1,-1
C202601478,1,9,57,8
C202601478,2,9,50,20
C202601478,3,19,55,23
C202601479,1,9,68,15
C202601479,2,3,44,20
C202601480,1,9,37,-1
C202601480,2,9,80,8
C202601480,3,3,70,0
C202601481,1,9,64,15
C202601481,2,11,54,20
C202601482,1,9,43,9
C202601482,2,11,26,2
C202601483,1,11,24,7
C202601484,1,9,75,7
C202601485,1,9,42,3
C202601486,1,5,32,4
C202601487,1,3,-1,10
C202601487,2,9,34,3
C202601488,1,3,46,22
C202601488,2,9,57,18
C202601489,1,9,35,21
C202601489,2,9,72,17
C202601490,1,11,34,1
C202601490,2,9,54,7
C202601491,1,3,69,12
C202601492,1,3,38,19
C202601492,2,19,-1,16
C202601493,1,9,78,18
C202601493,2,9,46,20
C202601494,1,9,79,22
C202601494,2,9,21,1
C202601494,3,11,79,11
C202601495,1,9,24,16
C202601495,2,9,37,21
C202601496,1,11,36,5
C202601496,2,19,55,8
C202601497,1,9,78,3
C202601497,2,9,77,20
C202601498,1,9,84,0
C202601498,2,9,55,5
C202601499,1,9,67,8
C202601499,2,5,70,3
C202601500,1,9,38,24
C202601500,2,9,17,-1
C202601501,1,5,56,21
C202601502,1,9,80,10
C202601502,2,19,79,-1
C202601503,1,11,76,-1
C202601503,2,5,34,22
C202601504,1,9,42,17
C202601504,2,9,56,6
C202601505,1,9,75,7
C202601506,1,19,46,12
C202601506,2,19,74,7
C202601507,1,9,57,24
C202601508,1,9,33,14
C202601508,2,9,54,23
C202601508,3,9,61,15
C202601508,4,9,39,3
C202601509,1,9,42,8
C202601509,2,9,37,4
C202601510,1,3,47,8
C202601510,2,11,29,16
C202601511,1,9,30,11
C202601511,2,9,48,18
C202601512,1,9,41,11
C202601512,2,9,24,16
C202601513,1,9,76,24
C202601514,1,9,63,2
C202601514,2,19,17,24
C202601514,3,9,55,9
C202601515,1,9,48,23
C202601515,2,9,50,15
C202601516,1,5,76,1
C202601516,2,3,29,24
C202601517,1,9,78,14
C202601518,1,1,26,6
C202601518,2,9,53,0
C202601519,1,9,30,15
C202601519,2,3,31,20
C202601520,1,9,62,11
C202601520,2,3,67,16
C202601521,1,9,51,11
C202601521,2,9,25,-1
C202601522,1,9,62,10
C202601523,1,19,22,1
C202601524,1,9,61,11
C202601524,2,11,83,11
C202601525,1,9,43,1
C202601525,2,11,70,21
C202601526,1,9,76,8
C202601526,2,9,84,19
C202601526,3,3,75,3
C202601527,1,11,51,4
C202601527,2,5,52,14
C202601527,3,11,53,12
C202601528,1,9,30,1
C202601528,2,9,55,8
C202601529,1,9,45,24
C202601529,2,9,41,17
C202601530,1,3,39,13
C202601531,1,19,48,13
C202601532,1,9,82,7
C202601532,2,9,62,11
C202601533,1,9,71,23
C202601533,2,11,80,13
C202601534,1,9,76,7
C202601534,2,11,60,5
C202601535,1,9,57,19
C202601535,2,9,28,17
C202601536,1,9,18,18
C202601537,1,5,61,0
C202601537,2,3,57,13
C202601537,3,9,73,20
C202601538,1,11,73,22
C202601539,1,19,28,1
C202601539,2,9,40,13
C202601539,3,9,17,16
C202601540,1,9,76,22
C202601540,2,11,57,17
C202601541,1,9,69,1
C202601541,2,11,52,0
C202601542,1,9,35,24
C202601542,2,9,76,-1
C202601542,3,19,71,9
C202601543,1,9,41,7
C202601543,2,9,50,10
C202601543,3,9,72,15
C202601544,1,1,71,-1
C202601544,2,11,83,10
C202601544,3,9,39,8
C202601545,1,9,73,-1
C202601546,1,1,35,-1
C202601546,2,9,69,15
C202601546,3,9,67,17
C202601546,4,11,-1,-1
C202601547,1,1,82,17
C202601547,2,9,30,18
C202601547,3,1,75,13
C202601548,1,9,29,22
C202601548,2,3,78,12
C202601549,1,19,22,3
C202601549,2,5,77,11
C202601550,1,11,19,15
C202601550,2,3,19,8
C202601551,1,9,24,22
C202601551,2,3,65,18
C202601552,1,9,28,16
C202601552,2,9,30,13
C202601553,1,11,67,5
C202601553,2,9,49,17
C202601553,3,9,59,4
C202601554,1,9,23,13
C202601554,2,9,39,4
C202601555,1,3,18,14
C202601555,2,9,23,23
C202601556,1,9,31,21
C202601556,2,9,37,9
C202601557,1,5,45,22
C202601557,2,11,18,19
C202601558,1,9,50,24
C202601559,1,9,42,3
C202601560,1,9,22,8
C202601561,1,9,50,24
C202601561,2,9,84,21
C202601562,1,9,55,5
C202601563,1,19,61,11
C202601563,2,9,80,15
C202601564,1,9,29,15
C202601564,2,1,76,12
C202601564,3,9,67,4
C202601565,1,9,-1,11
C202601565,2,9,38,6
C202601566,1,5,-1,5
C202601566,2,9,25,-1
C202601567,1,9,84,11
C202601567,2,9,80,9
C202601568,1,9,62,7
C202601568,2,9,57,13
C202601569,1,19,33,22
C202601570,1,9,34,14
C202601571,1,9,24,23
C202601572,1,19,68,1
C202601572,2,19,82,12
C202601573,1,19,80,13
C202601573,2,5,76,18
C202601573,3,11,26,11
C202601574,1,5,52,11
C202601574,2,9,83,17
C202601575,1,3,40,4
C202601576,1,9,31,12
C202601577,1,9,78,23
C202601577,2,9,34,15
C202601578,1,1,27,18
C202601578,2,9,63,2
C202601579,1,3,70,5
C202601579,2,9,-1,4
C202601579,3,9,84,6
C202601580,1,9,64,4
C202601580,2,9,57,-1
C202601581,1,9,48,20
C202601581,2,9,29,-1
C202601582,1,11,62,9
C202601582,2,9,64,12
C202601583,1,5,62,18
C202601583,2,9,80,2
C202601584,1,9,50,24
C202601585,1,11,23,24
C202601585,2,11,66,20
C202601586,1,11,52,23
C202601587,1,9,63,22
C202601587,2,11,67,8
C202601588,1,9,23,14
C202601588,2,9,18,17
C202601589,1,5,40,6
C202601589,2,3,27,18
C202601590,1,9,77,-1
C202601590,2,9,21,5
C202601591,1,11,49,4
C202601591,2,5,77,2
C202601592,1,1,57,24
C202601593,1,9,55,-1
C202601593,2,9,55,12
C202601594,1,9,29,7
C202601594,2,5,53,0
C202601595,1,9,64,21
C202601595,2,9,54,2
C202601596,1,11,23,0
C202601597,1,5,61,10
C202601598,1,9,57,19
C202601598,2,19,54,23
C202601598,3,9,35,9
C202601598,4,9,38,14
C202601599,1,11,17,24
C202601599,2,9,42,22
C202601600,1,1,18,14
C202601600,2,9,71,18
C202601601,1,1,20,2
C202601602,1,11,70,13
C202601603,1,19,70,2
C202601603,2,11,31,1
C202601604,1,9,25,0
C202601604,2,9,17,18
C202601604,3,11,74,2
C202601604,4,9,-1,19
C202601605,1,11,73,15
C202601605,2,11,41,4
C202601606,1,11,33,8
C202601606,2,3,41,16
C202601606,3,9,32,18
C202601606,4,1,56,24
C202601607,1,19,40,24
C202601607,2,9,18,23
C202601608,1,9,-1,13
C202601608,2,9,29,11
C202601609,1,19,66,18
C202601610,1,11,19,-1
C202601610,2,9,21,2
C202601611,1,9,47,22
C202601611,2,9,79,15
C202601612,1,9,79,-1
C202601612,2,19,32,1
C202601613,1,19,83,8
C202601614,1,9,41,4
C202601615,1,19,51,23
C202601615,2,19,57,21
C202601616,1,9,57,20
C202601616,2,19,73,14
C202601617,1,5,27,12
C202601617,2,9,51,20
C202601618,1,9,51,8
C202601618,2,9,23,8
C202601619,1,9,38,2
C202601619,2,19,74,19
C202601620,1,3,-1,15
C202601620,2,9,27,11
C202601621,1,19,82,23
C202601622,1,9,48,0
C202601622,2,1,68,0
C202601623,1,1,55,16
C202601623,2,9,59,4
C202601624,1,9,75,20
C202601624,2,19,18,16
C202601625,1,9,84,22
C202601625,2,11,45,7
C202601625,3,9,51,-1
C202601626,1,5,73,18
C202601627,1,11,34,21
C202601627,2,9,18,17
C202601628,1,19,37,22
C202601628,2,19,26,14
C202601629,1,9,26,11
C202601629,2,5,63,8
C202601630,1,9,53,7
C202601631,1,9,59,5
C202601632,1,11,72,6
C202601632,2,9,55,5
C202601633,1,19,66,9
C202601634,1,1,63,18
C202601634,2,9,20,3
C202601635,1,19,72,0
C202601635,2,9,-1,1
C202601636,1,5,26,10
C202601636,2,9,48,1
C202601636,3,9,23,5
C202601636,4,19,23,1
C202601637,1,9,39,6
C202601637,2,11,81,0
C202601637,3,3,19,6
C202601638,1,9,60,13
C202601638,2,9,49,24
C202601639,1,9,34,8
C202601640,1,9,42,9
C202601641,1,19,79,18
C202601641,2,9,18,18
C202601641,3,9,84,23
C202601642,1,9,42,9
C202601642,2,9,48,10
C202601643,1,19,36,3
C202601643,2,19,70,6
C202601644,1,3,78,1
C202601644,2,3,18,16
C202601645,1,19,52,19
C202601645,2,11,23,11
C202601646,1,3,47,20
C202601647,1,9,-1,0
C202601647,2,5,73,22
C202601648,1,5,50,5
C202601648,2,9,51,-1
C202601649,1,1,66,6
C202601649,2,19,64,-1
C202601650,1,11,57,16
C202601650,2,9,59,0
C202601651,1,9,25,0
C202601651,2,11,29,10
C202601652,1,3,67,1
C202601652,2,9,63,-1
C202601653,1,9,41,22
C202601654,1,5,66,22
C202601654,2,9,53,12
C202601655,1,9,71,10
C202601655,2,11,29,8
C202601656,1,9,82,1
C202601656,2,9,23,21
C202601657,1,11,-1,1
C202601658,1,5,20,13
C202601658,2,5,54,23
C202601658,3,9,64,7
C202601658,4,9,48,6
C202601659,1,9,39,-1
C202601659,2,19,51,3
C202601660,1,3,19,18
C202601660,2,11,45,16
C202601661,1,9,19,2
C202601661,2,9,23,11
C202601662,1,19,43,2
C202601662,2,9,53,13
C202601663,1,9,45,14
C202601663,2,9,60,3
C202601664,1,11,68,13
C202601664,2,9,46,11
C202601665,1,11,-1,4
C202601665,2,9,54,4
C202601666,1,11,73,4
C202601666,2,9,76,13
C202601667,1,3,34,8
C202601667,2,19,59,16
C202601667,3,9,31,21
C202601667,4,19,61,13
C202601668,1,9,44,7
C202601668,2,9,65,21
C202601668,3,3,37,9
C202601669,1,9,83,13
C202601670,1,19,58,0
C202601671,1,3,74,12
C202601671,2,9,60,8
C202601672,1,9,64,4
C202601672,2,11,49,8
C202601673,1,19,56,6
C202601674,1,9,35,5
C202601674,2,11,82,17
C202601675,1,9,-1,0
C202601675,2,19,-1,5
C202601676,1,3,27,-1
C202601676,2,5,31,7
C202601677,1,5,76,4
C202601677,2,9,60,0
C202601678,1,11,57,0
C202601678,2,19,84,12
C202601678,3,9,44,15
C202601679,1,3,22,22
C202601679,2,3,31,-1
C202601679,3,5,27,16
C202601680,1,11,28,-1
C202601680,2,5,24,14
C202601681,1,9,59,-1
C202601682,1,9,31,14
C202601682,2,9,43,4
C202601682,3,1,57,11
C202601682,4,9,66,21
C202601683,1,5,71,12
C202601683,2,9,-1,-1
C202601684,1,5,60,22
C202601685,1,9,63,17
C202601686,1,5,38,7
C202601686,2,9,80,5
C202601686,3,9,65,20
C202601687,1,1,25,8
C202601687,2,19,53,1
C202601688,1,9,23,11
C202601689,1,3,18,-1
C202601689,2,5,32,-1
C202601690,1,9,52,12
C202601690,2,3,41,0
C202601691,1,11,62,9
C202601691,2,9,24,-1
C202601691,3,11,78,7
C202601692,1,19,65,20
C202601692,2,11,65,6
C202601693,1,9,-1,12
C202601693,2,9,40,9
C202601694,1,5,31,19
C202601694,2,5,67,13
C202601694,3,11,28,2
C202601695,1,19,37,9
C202601695,2,3,81,10
C202601695,3,9,69,22
C202601695,4,9,22,7
C202601696,1,9,68,24
C202601696,2,9,45,2
C202601696,3,3,48,9
C202601697,1,11,39,19
C202601697,2,5,61,1
C202601697,3,9,18,5
C202601697,4,3,27,16
C202601698,1,9,62,17
C202601699,1,11,55,6
C202601699,2,9,32,2
C202601700,1,9,51,21
C202601700,2,11,84,20
C202601701,1,9,83,8
C202601701,2,19,37,-1
C202601702,1,9,70,16
C202601702,2,9,-1,13
C202601703,1,1,55,21
C202601704,1,5,62,22
C202601704,2,11,79,15
C202601704,3,9,83,0
C202601705,1,9,27,15
C202601705,2,9,74,4
C202601706,1,3,34,10
C202601707,1,9,60,15
C202601708,1,9,72,8
C202601708,2,19,17,24
C202601709,1,9,43,13
C202601710,1,9,63,22
C202601710,2,9,65,19
C202601711,1,11,43,3
C202601711,2,9,19,0
C202601712,1,9,82,-1
C202601712,2,9,66,19
C202601712,3,3,62,8
C202601713,1,1,47,21
C202601713,2,9,20,6
C202601713,3,9,21,6
C202601714,1,9,84,12
C202601714,2,9,51,7
C202601715,1,9,54,2
C202601715,2,9,53,9
C202601716,1,1,30,13
C202601717,1,9,31,9
C202601718,1,3,34,17
C202601719,1,9,60,9
C202601719,2,9,22,16
C202601720,1,9,59,19
C202601720,2,9,77,9
C202601721,1,19,83,2
C202601721,2,9,75,9
C202601722,1,9,63,13
C202601723,1,9,51,8
C202601723,2,11,65,21
C202601723,3,11,68,6
C202601723,4,3,63,18
C202601724,1,9,60,0
C202601724,2,11,45,16
C202601724,3,9,27,-1
C202601724,4,9,58,0
C202601725,1,11,71,3
C202601725,2,9,58,21
C202601726,1,9,78,10
C202601726,2,9,26,20
C202601727,1,9,44,14
C202601727,2,9,17,13
C202601728,1,9,17,1
C202601729,1,9,22,16
C202601729,2,9,24,1
C202601730,1,11,84,21
C202601731,1,9,31,18
C202601731,2,9,76,23
C202601732,1,1,44,24
C202601732,2,9,49,19
C202601733,1,9,78,-1
C202601733,2,11,-1,5
C202601734,1,9,37,18
C202601734,2,9,79,-1
C202601735,1,9,-1,24
C202601735,2,9,34,12
C202601736,1,9,-1,4
C202601736,2,11,76,10
C202601736,3,5,56,13
C202601736,4,9,65,23
C202601737,1,5,34,2
C202601737,2,9,30,16
C202601738,1,11,47,17
C202601738,2,9,25,14
C202601739,1,9,64,24
C202601740,1,19,49,23
C202601740,2,9,62,16
C202601741,1,9,71,23
C202601741,2,9,36,13
C202601741,3,9,55,21
C202601742,1,9,70,5
C202601743,1,9,29,19
C202601743,2,9,33,16
C202601744,1,9,46,19
C202601745,1,9,59,17
C202601745,2,11,71,8
C202601746,1,9,43,19
C202601746,2,9,40,21
C202601747,1,19,79,2
C202601747,2,3,65,24
C202601748,1,11,21,20
C202601748,2,9,79,15
C202601749,1,3,49,6
C202601750,1,11,64,2
C202601750,2,9,34,6
C202601751,1,3,28,0
C202601752,1,9,-1,12
C202601753,1,9,25,2
C202601753,2,9,27,23
C202601754,1,9,58,5
C202601755,1,9,43,13
C202601755,2,9,77,3
C202601756,1,3,39,21
C202601756,2,19,77,24
C202601757,1,3,43,1
C202601757,2,19,31,23
C202601758,1,11,62,22
C202601758,2,9,67,8
C202601758,3,9,-1,3
C202601759,1,3,48,-1
C202601759,2,11,47,10
C202601760,1,9,27,9
C202601760,2,9,82,-1
C202601761,1,9,67,-1
C202601761,2,9,33,-1
C202601761,3,9,23,18
C202601762,1,9,42,0
C202601762,2,9,52,2
C202601763,1,3,37,14
C202601764,1,3,24,22
C202601764,2,11,47,17
C202601765,1,9,28,5
C202601766,1,3,45,8
C202601766,2,9,35,15
C202601767,1,5,51,0
C202601768,1,9,44,18
C202601768,2,9,54,24
C202601768,3,9,60,-1
C202601769,1,9,38,8
C202601769,2,1,21,11
C202601770,1,1,29,22
C202601770,2,5,33,15
C202601771,1,9,69,11
C202601771,2,9,68,3
C202601771,3,3,42,14
C202601772,1,9,44,23
C202601773,1,11,31,10
C202601773,2,19,64,19
C202601773,3,9,50,-1
C202601774,1,9,74,7
C202601774,2,9,25,16
C202601775,1,5,46,8
C202601775,2,9,68,6
C202601776,1,9,63,9
C202601776,2,5,54,15
C202601777,1,11,66,21
C202601777,2,9,44,23
C202601777,3,11,76,4
C202601777,4,9,72,20
C202601778,1,19,71,-1
C202601779,1,19,19,10
C202601779,2,9,73,7
C202601780,1,9,49,3
C202601780,2,9,52,21
C202601781,1,5,67,-1
C202601782,1,5,43,16
C202601782,2,9,64,-1
C202601783,1,3,74,10
C202601784,1,3,41,22
C202601785,1,1,38,10
C202601785,2,3,50,7
C202601786,1,19,56,1
C202601787,1,9,73,2
C202601787,2,9,42,24
C202601788,1,9,66,22
C202601788,2,9,73,12
C202601789,1,9,20,8
C202601789,2,1,70,16
C202601790,1,9,24,19
C202601791,1,9,29,4
C202601791,2,19,20,4
C202601792,1,19,19,17
C202601793,1,1,57,20
C202601793,2,9,74,24
C202601793,3,11,73,18
C202601794,1,5,52,12
C202601794,2,9,54,0
C202601795,1,9,31,6
C202601795,2,1,51,13
C202601796,1,9,63,0
C202601796,2,5,65,20
C202601797,1,9,-1,24
C202601797,2,9,78,9
C202601798,1,9,75,5
C202601799,1,9,26,22
C202601800,1,5,31,11
C202601801,1,9,19,18
C202601802,1,9,72,0
C202601802,2,11,25,24
C202601802,3,9,54,14
C202601803,1,9,79,0
C202601803,2,11,45,8
C202601804,1,9,36,12
C202601804,2,9,84,17
C202601805,1,9,-1,3
C202601805,2,9,69,10
C202601806,1,19,65,17
C202601806,2,9,37,21
C202601806,3,19,69,8
C202601807,1,1,57,1
C202601808,1,11,56,2
C202601808,2,5,74,0
C202601809,1,9,70,24
C202601809,2,9,83,21
C202601810,1,11,21,22
C202601811,1,9,41,7
C202601811,2,5,59,20
C202601812,1,11,17,10
C202601812,2,9,69,12
C202601813,1,9,31,24
C202601813,2,3,75,17
C202601814,1,9,35,9
C202601814,2,19,62,9
C202601815,1,9,82,13
C202601815,2,9,37,3
C202601816,1,11,39,24
C202601816,2,9,53,16
C202601816,3,9,42,16
C202601816,4,9,36,24
C202601817,1,19,75,-1
C202601818,1,9,63,3
C202601819,1,11,60,14
C202601819,2,11,81,3
C202601820,1,5,75,-1
C202601821,1,5,18,9
C202601821,2,9,22,24
C202601822,1,9,19,4
C202601822,2,5,20,17
C202601823,1,9,70,19
C202601824,1,19,41,23
C202601824,2,9,71,17
C202601825,1,9,29,24
C202601826,1,9,50,8
C202601826,2,19,66,16
C202601827,1,9,42,24
C202601827,2,5,76,17
C202601828,1,3,81,7
C202601828,2,1,49,20
C202601829,1,9,35,-1
C202601830,1,3,75,23
C202601830,2,3,-1,7
C202601831,1,11,60,15
C202601831,2,9,63,22
C202601832,1,9,20,4
C202601832,2,1,-1,10
C202601833,1,3,84,13
C202601833,2,9,46,8
C202601834,1,19,58,21
C202601835,1,5,44,15
C202601835,2,3,72,17
C202601836,1,11,21,24
C202601836,2,11,63,6
C202601836,3,1,72,20
C202601837,1,19,22,14
C202601837,2,9,40,20
C202601838,1,9,36,4
C202601838,2,9,58,14
C202601839,1,9,35,1
C202601839,2,5,26,16
C202601840,1,9,83,11
C202601841,1,1,72,-1
C202601841,2,9,79,3
C202601842,1,9,57,14
C202601842,2,9,45,9
C202601843,1,19,47,14
C202601844,1,9,51,2
C202601845,1,9,34,17
C202601846,1,19,19,2
C202601846,2,1,30,19
C202601847,1,3,21,19
C202601847,2,1,20,18
C202601848,1,9,83,16
C202601848,2,9,78,3
C202601849,1,9,67,3
C202601850,1,9,83,20
C202601851,1,9,35,2
C202601851,2,3,49,1
C202601852,1,9,42,3
C202601852,2,9,20,10
C202601853,1,9,69,22
C202601854,1,19,84,-1
C202601854,2,9,47,21
C202601855,1,3,49,-1
C202601855,2,11,66,12
C202601856,1,9,64,1
C202601856,2,9,50,4
C202601857,1,3,18,22
C202601858,1,1,27,7
C202601858,2,9,45,4
C202601859,1,9,41,9
C202601860,1,5,71,18
C202601860,2,9,37,1
C202601860,3,9,51,6
C202601861,1,11,62,21
C202601861,2,5,48,16
C202601862,1,9,77,5
C202601862,2,9,46,2
C202601863,1,9,38,8
C202601863,2,9,26,1
C202601864,1,9,25,18
C202601864,2,9,41,19
C202601865,1,19,29,5
C202601865,2,3,52,24
C202601866,1,11,28,14
C202601866,2,9,74,-1
C202601867,1,9,22,16
C202601867,2,19,82,10
C202601867,3,9,17,10
C202601868,1,5,46,22
C202601868,2,9,82,-1
C202601869,1,11,71,1
C202601870,1,3,59,-1
C202601870,2,9,47,-1
C202601871,1,9,51,2
C202601871,2,9,22,20
C202601872,1,9,22,10
C202601872,2,11,43,8
C202601873,1,9,19,16
C202601873,2,9,25,1
C202601874,1,9,47,9
C202601874,2,5,60,4
C202601874,3,9,43,-1
C202601875,1,9,72,8
C202601875,2,9,70,21
C202601876,1,9,75,23
C202601876,2,3,19,-1
C202601877,1,9,28,24
C202601878,1,9,25,14
C202601878,2,9,46,22
C202601878,3,9,55,5
C202601879,1,9,75,7
C202601880,1,5,66,18
C202601881,1,9,59,24
C202601881,2,9,61,5
C202601882,1,9,-1,17
C202601882,2,9,68,14
C202601883,1,1,72,23
C202601883,2,9,68,2
C202601884,1,3,66,24
C202601884,2,9,46,24
C202601885,1,9,64,12
C202601885,2,9,52,20
C202601885,3,9,52,17
C202601886,1,19,81,11
C202601886,2,9,31,0
C202601887,1,3,64,9
C202601887,2,11,47,18
C202601888,1,5,84,17
C202601888,2,11,56,0
C202601889,1,19,66,-1
C202601889,2,19,84,20
C202601890,1,9,53,10
C202601890,2,9,19,8
C202601891,1,9,40,10
C202601891,2,9,83,14
C202601892,1,5,66,17
C202601892,2,9,77,9
C202601893,1,9,65,8
C202601893,2,9,30,18
C202601894,1,9,80,17
C202601894,2,9,39,7
C202601895,1,9,26,18
C202601895,2,9,25,16
C202601896,1,9,73,-1
C202601896,2,3,51,19
C202601897,1,11,41,10
C202601897,2,11,54,9
C202601897,3,9,61,11
C202601897,4,9,56,24
C202601898,1,19,28,5
C202601898,2,11,48,23
C202601899,1,9,58,19
C202601900,1,9,52,24
C202601900,2,9,58,12
C202601901,1,9,23,22
C202601902,1,3,35,12
C202601902,2,3,60,1
C202601903,1,9,-1,16
C202601904,1,19,25,2
C202601904,2,9,78,21
C202601904,3,19,83,-1
C202601905,1,9,62,14
C202601905,2,9,67,20
C202601906,1,9,63,23
C202601906,2,3,60,16
C202601906,3,3,57,5
C202601907,1,11,61,15
C202601908,1,9,82,2
C202601908,2,9,44,15
C202601908,3,19,67,10
C202601909,1,11,48,6
C202601909,2,3,18,8
C202601910,1,11,61,6
C202601911,1,11,48,14
C202601912,1,9,59,11
C202601912,2,3,60,8
C202601913,1,1,22,0
C202601913,2,9,50,9
C202601913,3,19,41,17
C202601914,1,9,53,21
C202601914,2,9,74,20
C202601915,1,9,80,13
C202601915,2,1,35,21
C202601916,1,9,32,17
C202601916,2,11,28,22
C202601917,1,19,17,18
C202601918,1,9,60,23
C202601918,2,5,35,16
C202601919,1,5,22,18
C202601920,1,9,76,24
C202601920,2,9,30,-1
C202601921,1,19,37,4
C202601921,2,9,48,21
C202601921,3,9,66,15
C202601922,1,9,21,1
C202601922,2,11,84,7
C202601923,1,3,43,8
C202601924,1,5,48,13
C202601924,2,9,68,-1
C202601925,1,9,30,20
C202601925,2,11,75,12
C202601926,1,9,47,5
C202601927,1,19,21,5
C202601927,2,9,26,7
C202601928,1,11,25,16
C202601929,1,19,50,19
C202601929,2,3,76,16
C202601930,1,11,19,23
C202601930,2,9,64,3
C202601931,1,1,57,7
C202601931,2,9,72,11
C202601932,1,9,54,7
C202601933,1,9,46,20
C202601934,1,11,27,-1
C202601934,2,9,26,18
C202601935,1,9,-1,0
C202601935,2,1,74,5
C202601936,1,1,73,7
C202601936,2,19,-1,14
C202601937,1,5,20,10
C202601937,2,9,51,-1
C202601937,3,9,66,2
C202601938,1,9,66,3
C202601938,2,9,47,3
C202601939,1,3,26,8
C202601939,2,9,68,23
C202601940,1,9,57,0
C202601940,2,11,84,15
C202601941,1,5,26,0
C202601942,1,19,55,13
C202601942,2,9,50,9
C202601943,1,3,52,9
C202601943,2,19,24,10
C202601944,1,9,70,13
C202601944,2,9,53,11
C202601945,1,19,47,0
C202601945,2,9,28,6
C202601945,3,9,81,14
C202601946,1,9,18,9
C202601947,1,3,46,23
C202601947,2,9,79,2
C202601947,3,19,48,8
C202601948,1,9,69,23
C202601948,2,9,71,4
C202601949,1,3,21,-1
C202601949,2,9,34,20
C202601950,1,9,34,0
C202601951,1,11,56,13
C202601951,2,1,58,12
C202601952,1,9,19,10
C202601952,2,9,52,15
C202601953,1,9,51,14
C202601953,2,9,69,8
C202601954,1,9,83,14
C202601955,1,11,56,1
C202601955,2,9,20,13
C202601956,1,5,60,6
C202601956,2,3,45,13
C202601957,1,1,68,3
C202601957,2,9,41,1
C202601957,3,11,81,11
C202601958,1,9,38,6
C202601958,2,9,80,12
C202601959,1,9,25,8
C202601960,1,9,42,21
C202601960,2,9,59,-1
C202601960,3,5,41,12
C202601961,1,11,38,-1
C202601962,1,9,80,4
C202601962,2,9,70,16
C202601963,1,9,83,10
C202601963,2,9,41,3
C202601964,1,9,59,2
C202601964,2,9,34,13
C202601964,3,9,26,23
C202601964,4,9,76,12
C202601965,1,5,59,15
C202601965,2,19,17,14
C202601966,1,9,57,10
C202601966,2,9,54,2
C202601966,3,9,81,21
C202601966,4,11,66,18
C202601967,1,3,74,11
C202601967,2,9,59,22
C202601967,3,9,74,-1
