collision_index,longitude,latitude,date,time,road_type,speed_limit,junction_detail,junction_control,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,urban_or_rural_area,area,num_casualties,severity_score
C202601320,-1.25101,54.75017,01/06/2026,05:13,6,30,0,0,0,5,1,9,0,1,North East,1,7
C202601321,-2.13873,52.70128,01/06/2026,05:13,6,50,3,4,0,1,-1,1,0,1,West Midlands,1,5
C202601322,-1.81111,52.41515,01/06/2026,05:14,6,40,3,2,0,1,1,1,0,2,West Midlands,1,4
C202601323,-1.66969,55.04469,01/06/2026,05:14,2,60,6,0,5,5,2,4,1,2,North East,1,10
C202601324,-2.27777,53.45443,01/06/2026,05:14,6,30,0,0,0,7,1,1,0,1,North West,1,6
C202601325,-1.92825,52.53596,01/06/2026,05:14,6,60,-1,4,1,5,1,1,0,2,West Midlands,1,7
C202601326,0.0615,51.44076,01/06/2026,05:14,7,30,3,1,0,5,1,1,0,1,London,3,6
C202601327,-3.70009,50.89287,01/06/2026,05:14,6,40,3,4,5,1,1,1,0,1,South West,1,6
C202601328,-0.44312,51.26855,01/06/2026,05:15,6,40,6,0,1,1,5,1,0,2,South East,1,3
C202601329,-2.93057,51.30244,01/06/2026,05:15,6,40,0,4,5,1,1,1,0,1,Wales,1,5
C202601330,-1.14869,54.4161,01/06/2026,05:15,6,70,3,0,0,4,1,2,0,1,Yorkshire,1,6
C202601331,-0.19211,51.30325,01/06/2026,05:16,6,30,0,4,5,4,1,1,0,1,London,3,7
C202601332,-2.36066,53.65942,01/06/2026,05:16,7,60,0,2,0,5,1,1,0,1,North West,1,7
C202601333,-3.33933,50.96404,01/06/2026,05:16,3,40,6,2,0,1,-1,1,0,2,South West,5,7
C202601334,-1.59711,52.425,01/06/2026,05:17,6,60,3,0,0,1,1,4,0,1,West Midlands,1,5
C202601335,-2.98121,51.43321,01/06/2026,05:17,7,30,-1,4,0,5,2,9,0,1,Wales,1,6
C202601336,-2.53822,53.7101,01/06/2026,05:17,6,30,0,2,5,5,2,1,0,1,North West,2,7
C202601337,-2.87204,51.87184,01/06/2026,05:17,9,70,5,0,0,1,2,2,0,2,Wales,2,8
C202601338,-4.18665,50.5679,01/06/2026,05:18,7,30,2,2,0,6,1,1,0,1,South West,1,6
C202601339,-3.59447,51.48846,01/06/2026,05:18,7,70,3,2,0,7,7,2,0,1,South West,1,7
C202601340,-1.74781,53.95173,01/06/2026,05:18,6,30,1,2,1,1,1,1,0,2,Yorkshire,1,7
C202601341,-2.87438,51.27372,01/06/2026,05:18,6,30,6,4,0,1,1,1,0,1,Wales,2,5
C202601342,-2.62892,53.83956,01/06/2026,05:18,2,40,0,0,0,1,1,1,0,1,North West,1,3
C202601343,-1.34467,54.02287,01/06/2026,05:19,6,30,0,0,0,1,-1,2,0,1,Yorkshire,1,5
C202601344,-1.09451,52.84141,01/06/2026,05:19,6,50,0,1,0,1,1,1,0,1,East Midlands,4,8
C202601345,-1.31658,55.57492,01/06/2026,05:19,2,60,5,0,5,5,1,1,0,2,North East,1,7
C202601346,-0.52337,51.19542,01/06/2026,05:20,7,60,5,2,0,1,2,1,0,1,South East,1,5
C202601347,-2.57898,53.70854,01/06/2026,05:20,6,30,2,-1,-1,7,1,3,0,2,North West,5,8
C202601348,-1.46205,54.90094,01/06/2026,05:20,6,30,5,0,0,5,8,1,0,2,North East,1,7
C202601349,-1.12728,52.74249,01/06/2026,05:20,6,30,0,1,-1,1,1,2,0,1,East Midlands,2,5
C202601350,-3.62098,51.16766,01/06/2026,05:20,6,30,3,0,0,1,1,4,0,1,South West,1,4
C202601351,0.01715,51.67911,01/06/2026,05:21,6,30,5,0,5,1,1,2,0,1,London,2,4
C202601352,-1.48813,53.1747,01/06/2026,05:21,7,30,3,0,0,1,1,1,0,2,West Midlands,2,7
C202601353,-0.91207,53.36596,01/06/2026,05:21,3,30,5,4,0,5,1,2,0,2,East Midlands,1,7
C202601354,-2.77612,53.62101,01/06/2026,05:22,7,30,3,2,0,5,1,9,0,2,North West,2,8
C202601355,-0.91527,53.22071,01/06/2026,05:22,7,50,0,1,5,1,1,1,0,1,East Midlands,1,5
C202601356,-1.79026,55.33271,01/06/2026,05:22,6,30,3,4,0,5,1,2,0,2,North East,1,6
C202601357,-0.86116,51.65648,01/06/2026,05:22,6,40,5,0,0,1,5,2,0,2,London,1,5
C202601358,-3.40074,51.63736,01/06/2026,05:22,6,50,3,0,0,1,1,1,0,1,Wales,1,4
C202601359,-0.07134,51.28236,01/06/2026,05:22,6,30,1,2,1,1,1,1,0,1,London,1,3
C202601360,-1.49628,52.87645,01/06/2026,05:22,7,50,6,0,1,1,1,2,0,2,East Midlands,3,7
C202601361,-3.46617,50.78835,01/06/2026,05:22,6,50,0,0,0,5,2,2,0,1,South West,5,10
C202601362,-1.24078,53.98993,01/06/2026,05:22,3,40,5,2,0,1,2,1,0,1,Yorkshire,1,5
C202601363,-1.90355,52.25593,01/06/2026,05:23,9,30,-1,4,0,1,1,1,2,2,West Midlands,1,6
C202601364,-1.4842,54.8069,01/06/2026,05:23,2,30,0,-1,5,7,1,1,0,2,North East,1,7
C202601365,-1.66506,55.22029,01/06/2026,05:23,2,40,5,-1,1,5,1,1,0,2,North East,1,8
C202601366,-3.17631,53.89788,01/06/2026,05:23,7,20,0,-1,0,1,6,1,0,2,North West,3,7
C202601367,-2.52345,53.34148,01/06/2026,05:23,6,30,3,0,-1,1,5,2,0,1,North West,1,7
C202601368,-2.07328,52.47078,01/06/2026,05:24,7,30,0,0,0,4,1,1,0,2,West Midlands,2,6
C202601369,-1.81327,52.63426,01/06/2026,05:24,2,30,3,2,5,1,1,2,0,2,West Midlands,2,6
C202601370,-2.08643,55.0128,01/06/2026,05:24,6,70,6,2,0,1,1,1,0,1,North East,1,8
C202601371,-1.49121,54.04928,01/06/2026,05:24,6,30,6,4,0,7,2,1,0,2,Yorkshire,1,7
C202601372,-1.75153,52.71989,01/06/2026,05:25,3,70,5,2,0,1,1,2,0,1,West Midlands,1,7
C202601373,-1.18685,53.49388,01/06/2026,05:25,9,30,3,-1,1,1,1,2,0,2,Yorkshire,1,6
C202601374,-0.05877,51.19771,01/06/2026,05:25,2,30,-1,0,0,5,1,4,0,2,London,1,7
C202601375,-1.46444,53.10714,01/06/2026,05:25,6,30,0,4,5,5,1,1,0,2,East Midlands,1,6
C202601376,-1.58604,55.44378,01/06/2026,05:25,6,60,0,-1,0,7,6,1,0,1,North East,1,7
C202601377,-3.07109,53.59008,01/06/2026,05:25,2,50,1,0,0,1,6,1,0,1,North West,1,6
C202601378,-1.60892,52.61065,01/06/2026,05:25,9,30,3,0,-1,4,1,-1,0,2,East Midlands,1,8
C202601379,-3.10121,51.2686,01/06/2026,05:25,6,30,1,1,0,4,1,2,0,1,Wales,2,7
C202601380,0.02774,51.5498,01/06/2026,05:26,6,40,3,4,5,1,1,-1,0,2,London,1,3
C202601381,-0.05738,51.62056,01/06/2026,05:26,6,50,0,4,0,5,1,1,0,2,London,2,9
C202601382,-1.58238,52.54693,01/06/2026,05:26,2,30,6,0,0,5,2,2,0,1,West Midlands,2,8
C202601383,-2.37965,53.79203,01/06/2026,05:27,6,40,6,1,0,1,1,1,0,1,North West,1,5
C202601384,-0.98819,52.99868,01/06/2026,05:27,6,60,5,-1,5,1,1,1,1,2,East Midlands,1,6
C202601385,-2.00374,54.68299,01/06/2026,05:27,6,40,1,-1,0,4,1,1,6,2,North East,1,7
C202601386,-2.75825,53.65932,01/06/2026,05:27,3,20,6,-1,1,5,1,2,0,1,North West,2,6
C202601387,-1.09059,52.42921,01/06/2026,05:27,6,30,2,1,0,5,1,1,0,1,East Midlands,1,4
C202601388,-3.87566,50.59388,01/06/2026,05:27,6,70,2,4,0,1,-1,1,0,1,South West,1,9
C202601389,-1.89964,54.5642,01/06/2026,05:28,9,30,3,2,0,1,1,2,0,1,North East,1,5
C202601390,-2.26708,52.09838,01/06/2026,05:28,7,30,5,2,0,1,1,1,0,1,West Midlands,3,4
C202601391,-1.70359,54.48247,01/06/2026,05:28,2,50,3,0,1,1,1,2,0,1,Yorkshire,1,8
C202601392,-0.69113,51.24877,01/06/2026,05:28,6,30,5,2,1,1,1,1,0,1,South East,3,6
C202601393,-1.29669,54.5401,01/06/2026,05:29,6,70,2,2,0,5,2,1,0,1,North East,1,5
C202601394,-1.58468,55.25367,01/06/2026,05:29,6,40,0,0,1,5,1,1,0,1,North East,2,9
C202601395,-1.97324,52.44062,01/06/2026,05:30,7,40,3,0,1,1,1,4,6,1,West Midlands,1,4
C202601396,-3.42636,51.51155,01/06/2026,05:30,3,30,3,4,1,1,1,1,0,1,Wales,1,4
C202601397,-1.26648,55.28301,01/06/2026,05:30,3,30,0,0,0,1,1,1,0,2,North East,1,4
C202601398,-3.10149,51.26546,01/06/2026,05:30,6,30,3,-1,5,1,1,1,0,1,Wales,1,3
C202601399,-1.41389,54.9572,01/06/2026,05:30,6,40,0,0,0,4,2,1,0,1,North East,2,6
C202601400,-3.7757,50.66507,01/06/2026,05:30,7,60,0,2,5,1,1,2,0,2,South West,2,8
C202601401,-1.4486,52.92001,01/06/2026,05:30,7,70,6,4,0,1,1,1,0,1,East Midlands,2,7
C202601402,-1.47245,53.91188,01/06/2026,05:30,7,30,3,-1,0,5,1,1,0,1,Yorkshire,1,5
C202601403,-0.08766,51.48364,01/06/2026,05:31,6,20,0,2,0,1,1,2,0,2,London,1,4
C202601404,-2.85954,51.44545,01/06/2026,05:31,6,30,3,-1,0,5,5,2,6,1,Wales,1,7
C202601405,-3.33114,51.44208,01/06/2026,05:31,6,30,5,0,0,1,1,1,0,1,Wales,1,3
C202601406,-1.59676,53.63609,01/06/2026,05:31,6,30,6,4,0,6,1,2,0,1,Yorkshire,3,8
C202601407,-2.01664,52.36105,01/06/2026,05:31,9,20,3,2,0,1,1,1,0,1,West Midlands,2,5
C202601408,-1.33553,54.9325,01/06/2026,05:32,7,30,-1,4,0,1,1,1,0,2,North East,1,5
C202601409,-3.71805,50.77662,01/06/2026,05:32,2,40,5,-1,-1,1,1,1,0,1,South West,1,5
C202601410,-0.54147,51.11475,01/06/2026,05:32,6,40,0,2,1,1,1,1,0,1,South East,1,3
C202601411,-3.5295,50.78911,01/06/2026,05:32,6,30,3,1,0,1,1,2,0,1,South West,1,7
C202601412,-3.02708,51.69779,01/06/2026,05:32,6,60,6,0,0,1,1,1,0,2,Wales,4,9
C202601413,-0.79763,53.10729,01/06/2026,05:33,6,30,6,2,0,1,1,1,2,1,East Midlands,1,3
C202601414,-1.46864,54.79709,01/06/2026,05:33,7,30,3,4,5,1,2,1,0,2,North East,1,6
C202601415,-2.10397,53.69898,01/06/2026,05:33,1,30,3,0,0,1,1,1,0,1,North West,2,5
C202601416,-3.07904,51.71865,01/06/2026,05:33,6,40,3,0,0,1,1,1,0,2,Wales,3,10
C202601417,-2.34389,52.50277,01/06/2026,05:33,6,30,0,0,0,5,1,-1,7,2,West Midlands,4,10
C202601418,-1.04373,53.11254,01/06/2026,05:34,2,30,3,0,-1,1,1,1,0,2,East Midlands,1,5
C202601419,-1.19043,52.66027,01/06/2026,05:35,7,30,-1,2,0,1,1,-1,0,1,East Midlands,3,6
C202601420,-1.81541,54.59225,01/06/2026,05:35,6,30,0,-1,5,7,7,1,0,1,North East,1,6
C202601421,-0.16898,51.48566,01/06/2026,05:35,3,40,3,4,5,5,1,1,0,2,London,3,9
C202601422,-3.38992,51.6973,01/06/2026,05:35,6,30,3,0,1,1,1,1,0,1,Wales,1,4
C202601423,-3.06221,51.83061,01/06/2026,05:36,6,30,3,0,0,7,1,2,0,1,Wales,3,7
C202601424,-0.04893,51.62148,01/06/2026,05:37,7,70,0,2,0,1,1,1,0,2,London,1,8
C202601425,0.10335,51.3418,01/06/2026,05:37,9,70,3,4,5,1,1,1,0,2,London,1,4
C202601426,-1.38279,53.47466,01/06/2026,05:37,6,30,3,-1,5,1,1,1,0,1,Yorkshire,2,4
C202601427,-3.00872,51.62632,01/06/2026,05:37,6,60,-1,2,0,6,1,3,6,1,Wales,1,7
C202601428,-2.23673,52.45035,01/06/2026,05:37,7,70,6,-1,0,5,-1,1,0,2,West Midlands,5,10
C202601429,-0.19099,51.63889,01/06/2026,05:38,2,30,0,0,0,7,1,2,0,2,London,1,6
C202601430,-0.60976,51.54549,01/06/2026,05:38,6,50,6,1,5,1,1,3,0,1,London,1,4
C202601431,-1.74178,52.36638,01/06/2026,05:38,6,40,5,-1,0,1,1,1,2,1,West Midlands,4,5
C202601432,-3.17289,51.00177,01/06/2026,05:38,7,40,-1,4,1,1,1,1,0,2,Wales,1,5
C202601433,-1.47397,53.37042,01/06/2026,05:39,3,30,0,-1,0,1,1,1,0,2,Yorkshire,1,7
C202601434,-0.14713,51.4413,01/06/2026,05:39,6,60,6,4,1,5,2,1,0,1,London,1,6
C202601435,-2.51719,53.22567,01/06/2026,05:39,6,60,3,0,0,1,1,2,0,1,North West,1,6
C202601436,-2.05411,53.73769,01/06/2026,05:39,6,30,0,4,0,5,1,4,6,2,Yorkshire,1,7
C202601437,-1.52239,55.04306,01/06/2026,05:39,7,50,3,0,0,1,2,2,0,1,North East,1,7
C202601438,-0.70567,53.0907,01/06/2026,05:39,6,40,0,0,0,4,1,1,0,1,East Midlands,1,4
C202601439,-0.03011,51.10291,01/06/2026,05:39,6,30,3,4,0,5,1,2,0,1,London,5,9
C202601440,-1.71741,54.90023,01/06/2026,05:40,7,30,0,4,0,1,1,2,0,1,North East,1,5
C202601441,-1.21257,53.83089,01/06/2026,05:40,2,30,3,2,0,7,1,2,0,1,Yorkshire,1,5
C202601442,-1.8127,52.92595,01/06/2026,05:40,7,60,5,0,0,5,1,1,0,1,West Midlands,5,10
C202601443,-2.50116,53.39379,01/06/2026,05:40,7,40,0,2,0,1,7,1,0,1,North West,1,6
C202601444,0.37141,50.9524,01/06/2026,05:40,6,30,0,4,0,7,1,1,0,1,London,1,3
C202601445,-3.05843,51.09601,01/06/2026,05:41,6,30,0,-1,1,1,1,1,0,2,Wales,1,3
C202601446,-1.30721,53.29328,01/06/2026,05:41,6,30,3,0,1,1,1,1,0,2,East Midlands,2,9
C202601447,-3.38699,51.12999,01/06/2026,05:41,7,30,5,4,1,4,1,2,0,1,Wales,2,7
C202601448,-0.46653,51.27242,01/06/2026,05:41,6,30,0,4,0,5,2,-1,0,2,South East,2,7
C202601449,-2.0135,54.85511,01/06/2026,05:41,6,30,3,4,0,5,1,9,0,1,North East,2,6
C202601450,-1.73317,54.74069,01/06/2026,05:41,6,30,-1,2,0,1,1,1,0,1,North East,1,4
C202601451,-1.71625,53.57955,01/06/2026,05:41,6,70,6,0,5,1,1,1,0,1,Yorkshire,1,7
C202601452,-3.27854,51.11293,01/06/2026,05:41,2,40,5,0,0,1,1,1,2,2,South West,1,7
C202601453,-3.22959,51.18812,01/06/2026,05:41,2,60,3,4,0,7,1,1,0,1,Wales,1,8
C202601454,-1.10242,53.45619,01/06/2026,05:42,6,30,3,4,0,1,1,1,0,1,East Midlands,1,2
C202601455,-2.07678,54.59477,01/06/2026,05:42,6,30,3,0,0,6,3,1,0,1,North East,1,3
C202601456,-0.25574,51.63427,01/06/2026,05:42,6,30,6,0,0,1,1,1,0,1,London,1,2
C202601457,-2.60636,53.59635,01/06/2026,05:42,6,30,0,4,0,1,2,2,0,1,North West,1,3
C202601458,-3.54052,50.76062,01/06/2026,05:43,3,60,3,4,0,1,1,1,0,1,South West,1,3
C202601459,-1.89959,52.13508,01/06/2026,05:43,6,50,-1,4,0,1,1,1,0,1,West Midlands,3,6
C202601460,-1.46156,55.27754,01/06/2026,05:43,3,30,5,0,0,5,1,2,0,1,North East,1,6
C202601461,-1.83727,52.48925,01/06/2026,05:44,6,30,0,0,0,5,1,2,0,2,West Midlands,3,9
C202601462,0.20439,51.24267,01/06/2026,05:44,6,50,3,2,0,5,1,1,0,2,London,3,9
C202601463,-2.73095,53.71187,01/06/2026,05:44,6,40,0,2,0,1,1,9,0,1,North West,1,3
C202601464,-1.17999,52.72001,01/06/2026,05:44,6,40,-1,0,0,5,1,1,0,2,East Midlands,1,8
C202601465,-2.71076,53.51984,01/06/2026,05:44,6,70,3,0,0,1,1,1,1,1,North West,1,4
C202601466,-1.21892,54.68113,01/06/2026,05:44,1,20,2,1,1,1,1,2,0,1,North East,1,4
C202601467,0.18811,51.89774,01/06/2026,05:44,1,30,5,4,0,1,1,1,0,1,London,1,5
C202601468,-3.86364,50.69515,01/06/2026,05:45,7,40,0,0,-1,1,1,1,0,1,South West,1,4
C202601469,-1.0699,51.70933,01/06/2026,05:45,3,70,5,4,1,1,1,2,0,2,South East,4,10
C202601470,-1.38261,54.92891,01/06/2026,05:45,7,70,1,2,-1,1,1,1,0,1,North East,5,9
C202601471,-0.89219,52.78984,01/06/2026,05:45,6,70,3,-1,0,1,1,1,0,2,East Midlands,1,6
C202601472,0.00458,51.11505,01/06/2026,05:45,6,30,6,2,0,1,1,2,7,2,London,1,7
C202601473,-3.89619,51.00484,01/06/2026,05:45,7,50,6,2,0,1,2,1,0,2,South West,1,8
C202601474,-3.32244,51.56212,01/06/2026,05:46,6,30,6,1,0,1,1,1,0,2,Wales,2,5
C202601475,-1.77258,55.13727,01/06/2026,05:46,3,30,3,0,0,5,1,1,0,2,North East,1,7
C202601476,-1.21522,53.00708,01/06/2026,05:46,2,50,3,0,0,5,1,1,0,1,East Midlands,1,5
C202601477,-3.22571,51.44395,01/06/2026,05:47,6,30,0,2,0,5,1,1,0,1,Wales,4,6
C202601478,-2.0175,54.45939,01/06/2026,05:47,7,30,0,1,0,4,1,9,0,1,North East,1,7
C202601479,-3.69969,50.83032,01/06/2026,05:47,7,60,6,-1,0,5,1,1,0,1,South West,1,5
C202601480,-0.88578,51.3857,01/06/2026,05:47,6,30,3,0,-1,1,1,1,0,1,South East,1,4
C202601481,-2.0746,54.20363,01/06/2026,05:47,3,70,0,4,0,1,5,2,0,2,Yorkshire,1,9
C202601482,-3.10954,51.09525,01/06/2026,05:47,7,30,5,4,0,1,1,1,2,2,South West,1,7
C202601483,-0.73055,53.08741,01/06/2026,05:47,1,30,0,4,5,1,1,1,0,1,East Midlands,1,3
C202601484,-3.74074,50.86146,01/06/2026,05:48,6,30,5,4,0,5,1,2,0,2,South West,1,6
C202601485,-1.74405,54.86213,01/06/2026,05:48,6,50,0,0,0,1,1,1,0,1,North East,1,4
C202601486,-0.87767,50.47759,01/06/2026,05:48,7,70,0,0,0,4,1,2,0,2,South East,1,8
C202601487,-0.32157,51.721,01/06/2026,05:48,6,50,0,2,5,5,1,2,0,2,London,1,7
C202601488,-2.46228,53.63213,01/06/2026,05:48,7,30,5,0,5,1,1,1,0,1,North West,2,4
C202601489,-2.8723,53.54255,01/06/2026,05:48,3,30,0,2,0,5,1,1,0,1,North West,2,4
C202601490,-2.36648,53.39355,01/06/2026,05:49,6,60,5,2,5,1,1,1,0,2,North West,4,10
C202601491,-1.7431,52.67784,01/06/2026,05:49,2,20,0,4,1,1,1,1,7,1,West Midlands,1,3
C202601492,-3.53324,50.97007,01/06/2026,05:49,6,50,5,4,0,1,2,2,0,1,South West,2,6
C202601493,-1.06028,53.64317,01/06/2026,05:50,6,30,6,1,0,5,1,1,0,1,Yorkshire,2,8
C202601494,-2.96856,51.38297,01/06/2026,05:50,6,30,2,1,0,1,1,1,0,1,Wales,4,7
C202601495,-0.84196,51.18568,01/06/2026,05:50,6,70,0,0,1,1,1,1,0,1,South East,2,6
C202601496,-3.57915,50.867,01/06/2026,05:50,6,30,0,4,0,1,3,1,0,1,South West,1,4
C202601497,-1.60841,51.99555,01/06/2026,05:50,6,60,6,-1,-1,5,1,1,0,2,West Midlands,1,6
C202601498,-1.34408,52.99261,01/06/2026,05:50,9,40,-1,4,0,1,1,1,0,2,East Midlands,1,6
C202601499,-1.81337,53.68451,01/06/2026,05:51,6,20,5,4,0,1,7,1,0,1,Yorkshire,1,6
C202601500,-2.97418,51.71671,01/06/2026,05:51,3,60,0,4,0,1,2,1,0,1,Wales,1,5
C202601501,-1.42408,55.52752,01/06/2026,05:51,6,40,0,0,0,5,1,2,0,1,North East,2,6
C202601502,-1.33243,52.35496,01/06/2026,05:52,2,30,0,2,0,1,1,1,0,1,East Midlands,2,3
C202601503,-0.26772,51.45622,01/06/2026,05:52,3,30,1,2,0,1,1,3,0,1,South East,1,3
C202601504,-1.70827,54.84098,01/06/2026,05:53,6,30,3,2,0,7,1,2,0,1,North East,2,6
C202601505,-1.28692,53.60413,01/06/2026,05:54,6,60,3,-1,0,5,1,2,0,2,Yorkshire,1,9
C202601506,-3.05563,51.28013,01/06/2026,05:54,6,40,3,0,0,1,1,1,0,1,Wales,1,5
C202601507,-3.72706,50.95428,01/06/2026,05:54,6,30,3,4,0,1,1,1,0,2,South West,1,3
C202601508,-2.62259,53.58875,01/06/2026,05:55,6,60,1,0,5,1,1,1,0,2,North West,2,10
C202601509,-0.74027,52.13704,01/06/2026,05:55,2,20,6,0,0,1,1,1,0,1,London,2,4
C202601510,-2.92608,51.3296,01/06/2026,05:55,6,60,0,0,0,4,1,1,0,2,Wales,2,9
C202601511,-0.10519,51.27289,01/06/2026,05:55,6,60,5,4,-1,1,5,2,0,1,London,1,6
C202601512,-1.30227,53.32265,01/06/2026,05:55,3,50,0,4,0,1,3,2,0,2,Yorkshire,2,9
C202601513,-1.75163,53.5863,01/06/2026,05:56,6,30,0,2,0,1,1,1,0,1,Yorkshire,3,5
C202601514,-1.93944,52.51068,01/06/2026,05:56,9,30,2,4,5,1,1,1,1,1,West Midlands,2,6
C202601515,-1.88819,53.23965,01/06/2026,05:56,6,30,3,0,0,1,6,9,0,1,Yorkshire,1,5
C202601516,-0.30751,51.22905,01/06/2026,05:56,7,30,6,1,1,6,7,1,0,1,London,2,5
C202601517,-1.34928,53.75342,01/06/2026,05:56,6,30,3,0,0,1,2,1,0,1,Yorkshire,1,3
C202601518,-1.01154,52.66672,01/06/2026,05:57,6,30,0,2,0,1,1,1,0,1,East Midlands,1,4
C202601519,-1.26749,55.22503,01/06/2026,05:57,7,30,0,0,0,1,1,1,0,1,North East,3,6
C202601520,-0.47773,51.16368,01/06/2026,05:57,7,40,-1,0,0,1,1,1,0,1,South East,1,4
C202601521,-3.13171,51.47939,01/06/2026,05:57,2,30,6,-1,5,1,8,2,0,1,Wales,1,4
C202601522,-1.37452,51.04219,01/06/2026,05:58,6,40,3,1,-1,1,1,2,0,2,South East,3,7
C202601523,-2.81069,51.2672,01/06/2026,05:58,6,60,5,2,1,5,3,1,0,2,Wales,1,7
C202601524,-3.46793,51.25491,01/06/2026,05:59,3,30,0,0,0,5,1,1,0,1,South West,1,6
C202601525,-1.09816,52.38774,01/06/2026,05:59,6,30,1,4,0,1,1,1,0,2,West Midlands,2,5
C202601526,-1.13107,54.59863,01/06/2026,06:00,6,60,0,0,0,1,1,2,0,2,North East,2,8
C202601527,-2.42929,53.41602,01/06/2026,06:00,6,40,2,0,5,1,1,2,0,1,North West,1,6
C202601528,-2.52964,53.56851,01/06/2026,06:00,3,30,3,1,-1,1,7,2,0,1,North West,1,1
C202601529,-3.24318,51.79477,01/06/2026,06:01,1,30,6,0,0,1,1,1,0,2,Wales,3,7
C202601530,-2.86098,53.80297,01/06/2026,06:01,6,40,5,4,0,1,1,1,0,2,North West,2,6
C202601531,-2.04599,52.71633,01/06/2026,06:01,3,30,3,4,1,1,3,1,0,2,West Midlands,3,7
C202601532,-0.13307,51.63083,01/06/2026,06:01,6,60,0,1,1,6,1,1,0,2,London,2,9
C202601533,-3.78891,50.88383,01/06/2026,06:01,6,50,3,2,0,1,1,1,0,1,South West,1,6
C202601534,-1.96604,52.28798,01/06/2026,06:01,6,60,3,0,0,1,1,2,0,1,West Midlands,1,6
C202601535,-2.90195,51.90208,01/06/2026,06:01,6,50,-1,4,0,5,1,1,0,1,Wales,1,7
C202601536,-2.14236,52.42824,01/06/2026,06:02,3,50,0,2,0,5,1,1,0,1,West Midlands,1,4
C202601537,-0.17665,51.72008,01/06/2026,06:02,9,30,-1,1,1,1,1,1,0,1,London,1,5
C202601538,-0.8174,51.4423,01/06/2026,06:02,6,70,0,4,0,5,1,1,0,1,South East,1,7
C202601539,-2.55847,53.14852,01/06/2026,06:03,6,30,0,0,0,1,1,1,0,2,North West,1,6
C202601540,-0.979,51.32142,01/06/2026,06:04,6,50,3,2,0,1,1,1,2,1,South East,3,8
C202601541,-3.28315,51.30954,01/06/2026,06:04,6,50,0,4,0,1,1,2,0,1,Wales,1,6
C202601542,-1.32251,50.84891,01/06/2026,06:04,6,30,0,4,5,1,1,1,0,2,South East,1,7
C202601543,-1.6504,54.75703,01/06/2026,06:04,7,60,5,4,0,1,1,1,0,1,North East,1,6
C202601544,-1.43607,55.0214,01/06/2026,06:04,6,70,-1,4,5,1,1,1,0,1,North East,1,5
C202601545,-2.42515,53.863,01/06/2026,06:04,6,70,5,0,0,1,1,1,0,1,North West,1,4
C202601546,-2.3181,53.57991,01/06/2026,06:04,2,70,3,4,0,5,1,1,0,2,North West,1,10
C202601547,-2.15228,52.66333,01/06/2026,06:04,6,20,6,0,-1,1,6,9,0,2,West Midlands,1,6
C202601548,-0.67272,51.15242,01/06/2026,06:04,6,60,2,-1,0,5,1,1,0,1,South East,3,6
C202601549,-3.49738,50.82048,01/06/2026,06:04,2,70,0,0,0,7,1,4,0,1,South West,1,7
C202601550,-1.95763,52.20672,01/06/2026,06:05,6,70,5,0,0,5,1,1,0,2,West Midlands,2,8
C202601551,-2.5129,53.21354,01/06/2026,06:05,6,70,6,2,0,1,1,1,0,1,North West,1,6
C202601552,-1.52548,53.6851,01/06/2026,06:05,1,40,3,-1,0,7,1,2,0,2,Yorkshire,2,6
C202601553,-1.83346,54.9093,01/06/2026,06:05,9,70,2,-1,5,1,1,1,0,2,North East,1,4
C202601554,-2.76304,50.93539,01/06/2026,06:06,7,40,6,4,1,1,1,1,0,1,Wales,1,3
C202601555,-2.18917,53.26103,01/06/2026,06:06,7,50,1,-1,0,1,1,1,0,1,North West,1,6
C202601556,-2.19745,52.18823,01/06/2026,06:07,6,20,3,1,0,7,1,1,0,1,West Midlands,1,4
C202601557,-1.45963,55.31497,01/06/2026,06:07,7,60,3,2,0,1,2,2,0,1,North East,1,6
C202601558,-2.05218,52.41193,01/06/2026,06:07,6,30,0,-1,0,6,1,1,0,1,West Midlands,1,4
C202601559,-2.96771,51.76003,01/06/2026,06:07,1,30,6,2,0,7,1,1,0,2,Wales,3,7
C202601560,-2.08466,52.51974,01/06/2026,06:07,7,60,3,0,0,1,1,2,0,1,West Midlands,1,5
C202601561,-2.882,53.21292,01/06/2026,06:07,6,30,0,-1,0,1,1,2,0,1,North West,1,4
C202601562,-3.04644,51.68867,01/06/2026,06:08,6,30,3,4,0,4,1,1,0,1,Wales,2,4
C202601563,-1.73326,54.37471,01/06/2026,06:08,9,30,0,-1,1,4,1,1,0,1,North East,1,4
C202601564,-1.07915,53.06441,01/06/2026,06:08,3,50,1,4,0,1,1,2,0,1,East Midlands,1,8
C202601565,-1.64985,53.83785,01/06/2026,06:08,6,30,5,0,1,7,2,2,0,1,Yorkshire,2,8
C202601566,-3.44454,51.77281,01/06/2026,06:08,6,20,2,4,1,1,2,1,0,1,Wales,2,4
C202601567,-2.5337,52.82198,01/06/2026,06:08,6,70,3,4,0,1,1,2,6,2,West Midlands,2,10
C202601568,-1.29279,53.42455,01/06/2026,06:09,6,30,6,-1,1,1,2,3,0,2,Yorkshire,2,7
C202601569,-3.44051,50.57764,01/06/2026,06:09,6,30,1,2,0,1,1,3,0,1,South West,1,4
C202601570,-2.42915,52.08313,01/06/2026,06:10,7,30,3,-1,5,5,1,3,0,2,West Midlands,2,6
